word,cefr_level,frequency
machine,A1,4.9
sit,A1,4.9
trip,A1,4.9
carry,A1,4.89
explain,A1,4.89
plant,A1,4.89
winter,A1,4.89
advice,A1,4.88
shop,A1,4.88
sick,A1,4.88
teacher,A1,4.88
camera,A1,4.87
foot,A1,4.87
meaning,A1,4.87
nine,A1,4.87
saturday,A1,4.87
weather,A1,4.87
activity,A1,4.86
coffee,A1,4.86
evening,A1,4.86
flight,A1,4.86
interview,A1,4.86
library,A1,4.86
fat,A1,4.85
glass,A1,4.85
ride,A1,4.85
slow,A1,4.85
traffic,A1,4.85
tree,A1,4.85
wonderful,A1,4.85
airport,A1,4.84
begin,A1,4.84
everybody,A1,4.84
famous,A1,4.84
lie,A1,4.84
partner,A1,4.84
sad,A1,4.84
twice,A1,4.84
bus,A1,4.83
cent,A1,4.83
fourth,A1,4.83
mouth,A1,4.83
village,A1,4.82
animal,A1,4.81
draw,A1,4.81
adult,A1,4.8
artist,A1,4.8
healthy,A1,4.8
monday,A1,4.8
somebody,A1,4.8
window,A1,4.8
bag,A1,4.79
correct,A1,4.79
dangerous,A1,4.79
improve,A1,4.79
negative,A1,4.79
television,A1,4.79
cat,A1,4.78
decide,A1,4.78
dinner,A1,4.78
fifth,A1,4.78
dear,A1,4.77
garden,A1,4.77
apple,A1,4.76
birthday,A1,4.76
dress,A1,4.76
horse,A1,4.76
map,A1,4.76
wake,A1,4.76
busy,A1,4.75
conversation,A1,4.75
driver,A1,4.75
farm,A1,4.75
fly,A1,4.75
excited,A1,4.74
magazine,A1,4.74
wine,A1,4.74
arm,A1,4.73
blog,A1,4.73
description,A1,4.73
mountain,A1,4.73
sport,A1,4.73
tea,A1,4.73
afternoon,A1,4.72
clothes,A1,4.72
festival,A1,4.72
flat,A1,4.72
hello,A1,4.72
pair,A1,4.72
plane,A1,4.72
quarter,A1,4.72
useful,A1,4.72
boat,A1,4.71
cheap,A1,4.71
fantastic,A1,4.71
hundred,A1,4.71
museum,A1,4.71
rain,A1,4.71
terrible,A1,4.71
tired,A1,4.71
warm,A1,4.71
afraid,A1,4.7
beer,A1,4.7
chair,A1,4.69
expensive,A1,4.69
writer,A1,4.69
yellow,A1,4.69
email,A1,4.68
exercise,A1,4.68
girlfriend,A1,4.68
restaurant,A1,4.68
shopping,A1,4.68
sugar,A1,4.68
mistake,A1,4.67
pool,A1,4.67
teach,A1,4.67
angry,A1,4.66
discuss,A1,4.66
holiday,A1,4.66
laugh,A1,4.66
leg,A1,4.66
lunch,A1,4.66
milk,A1,4.66
snow,A1,4.66
actor,A1,4.65
apartment,A1,4.65
cook,A1,4.65
journey,A1,4.65
kitchen,A1,4.65
quiet,A1,4.65
twenty,A1,4.65
